A+A,Médecin,ZABE MARIE LAURE,30/03/2012,30/03/2012 -,ETUDE DE MARCHE,,
Lilly France SAS,Médecin,HALLIGON JEAN,31/03/2014,31/03/2014 - 31/03/2014,AUTRE : [PARTICIPATION RÉUNION SCIENTIFIQUE],,
Lilly France SAS,Médecin,HALLIGON JEAN,16/09/2013,16/09/2013 - 16/09/2013,INVITATION,,
Lilly France SAS,Médecin,HALLIGON JEAN,31/03/2014,31/03/2014 - 31/03/2014,AUTRE : [PARTICIPATION RÉUNION SCIENTIFIQUE],,
MSD France,Médecin,BOURGET MICHEL,05/07/2012,05/07/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,BOURGET MICHEL,14/06/2012,14/06/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,CAMBOU MICHAEL,12/02/2014,12/02/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,CAMBOU MICHAEL,29/05/2013,29/05/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,DOMINGUEZ MELANIE,12/02/2014,12/02/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,DOMINGUEZ MELANIE,29/05/2013,29/05/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,GAUDICHON ROBERT,05/07/2012,05/07/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,LEMASSON PHILIPPE,12/02/2014,12/02/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,LEMASSON PHILIPPE,29/05/2013,29/05/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,TRELOHAN CHARLES,12/02/2014,12/02/2014 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,ZABE MARIE LAURE,29/05/2013,29/05/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,ZABE MARIE LAURE,12/02/2014,12/02/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Pharmacien,HERMABESSIERE MARIE LOUISE,14/03/2013,14/03/2013 -,CONVENTION D’HOSPITALITÉ,,
SANOFI AVENTIS FRANCE,Médecin,ZABE MARIE LAURE,14/04/2014,07/04/2014 - 30/06/2014,Autre : [Expertise],,
