A+A,Médecin,MAUGER FRANCIS,04/06/2013,04/06/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,MAUGER FRANCIS,27/03/2014,27/03/2014 -,Formation,,
ASTRAZENECA,Médecin,MAUGER FRANCIS,28/01/2014,28/01/2014 -,Formation,,
ASTRAZENECA,Médecin,MAUGER FRANCIS,13/02/2014,13/02/2014 -,Formation,,
Bayer HealthCare SAS,Médecin,FLAIS FRANCOIS,18/04/2013,18/04/2013 - 18/04/2013,AUTRE : MANIFESTATION DE PROMOTION,,
IPSEN PHARMA,Médecin,MAUGER FRANCIS,06/02/2014,06/02/2014 - 06/02/2014,CONVENTION D'HOSPITALITE,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAUGER FRANCIS,11/02/2014,11/02/2014 - 11/02/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAUGER FRANCIS,25/02/2014,25/02/2014 - 25/02/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAUGER FRANCIS,13/03/2014,13/03/2014 - 13/03/2014,Autre : [Convention d'Hospitalité],,
Laboratoires Grünenthal SAS,Médecin,MAUGER FRANCIS,17/12/2013,17/12/2013 -,AUTRE,,
LES LABORATOIRES SERVIER,Médecin,FLAIS FRANCOIS,10/12/2013,10/12/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,FLAIS FRANCOIS,25/03/2014,25/03/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,FLAIS FRANCOIS,24/04/2014,24/04/2014 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,MAUGER FRANCIS,25/03/2014,25/03/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,MAUGER FRANCIS,04/02/2014,04/02/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,MAUGER FRANCIS,17/10/2013,17/10/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,MAUGER FRANCIS,22/05/2014,22/05/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,MAUGER FRANCIS,20/11/2013,20/11/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,MAUGER FRANCIS,10/04/2014,10/04/2014 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,MAUGER FRANCIS,12/06/2014,12/06/2014 -,Autre : Manifestation scientifique,,
