A+A,Médecin,MALLAISY MICHELE,28/05/2013,27/05/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,DELCOURT ANTOINE,10/10/2013,10/10/2013 -,Formation,,
ASTRAZENECA,Médecin,DELCOURT ANTOINE,13/03/2014,13/03/2014 -,Formation,,
Bayer HealthCare SAS,Médecin,DELCOURT ANTOINE,06/02/2014,06/02/2014 - 06/02/2014,AUTRE : MANIFESTATION DE PROMOTION,,
BOIRON,Médecin,AMBROS DOMINIQUE,19/09/2013,19/09/2013 -,[FORMATION],,
BOIRON,Médecin,BRECHON-CORNERY FRANCOISE,19/09/2013,19/09/2013 -,[FORMATION],,
BOIRON,Médecin,BRECHON-CORNERY FRANCOISE,19/12/2013,19/12/2013 -,[FORMATION],,
BOIRON,Pharmacien,AUBERT ANNE,04/10/2013,04/10/2013 -,[FORMATION],,
BOIRON,Pharmacien,LEBOEUF MARTINE,04/10/2013,04/10/2013 -,[FORMATION],,
FERRING SAS,Infirmier,HUGE AURÉLIE,17/04/2014,17/04/2014 - 17/04/2014,Autre : Manifestation Scientifique,,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE AUBERT - CULLOT,01/09/2013,01/09/2013 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE AUBERT - CULLOT,01/11/2013,01/11/2013 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE AUBERT - CULLOT,01/02/2014,01/02/2014 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE AUBERT - CULLOT,01/10/2013,01/10/2013 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE LEBOEUF-BERNIER,01/02/2014,01/02/2014 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIROUD STEPHANIE,25/06/2014,25/06/2014 - 25/06/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIROUD STEPHANIE,01/04/2014,01/04/2014 - 01/04/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRES URGO,Infirmier,HUGE AURELIE,28/11/2013,28/11/2013 -,HOSPITALITE,,
LES LABORATOIRES SERVIER,Médecin,GIROUD STEPHANIE,01/10/2013,01/10/2013 -,Autre : Manifestation scientifique,,
LOL PHARMA,Pharmacien,DUMANGIN CHRISTINE DUMANGIN CHRISTINE,02/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
