A+A,Médecin,FLOCARD L HUILLIER MICHELE,02/07/2013,01/07/2013 -,ETUDE DE MARCHE,,
BOEHRINGER INGELHEIM FRANCE,Médecin,FLOCARD L HUILLIER MICHELE,03/04/2014,03/04/2014 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOIRON,Médecin,FLOCARD L HUILLIER MICHELE,07/11/2013,07/11/2013 -,[FORMATION],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FLOCARD L HUILLIER MICHELE,05/12/2013,05/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
SANOFI AVENTIS FRANCE,Médecin,FLOCARD L HUILLIER MICHELE,20/02/2014,20/02/2014 - 20/02/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,MANGIN CAROLINE,25/03/2014,25/03/2014 - 25/03/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,MANGIN CAROLINE,26/11/2013,26/11/2013 - 26/11/2013,Convention d'Hospitalité,,
SANOFI AVENTIS FRANCE,Médecin,MANGIN CAROLINE,15/10/2013,15/10/2013 - 15/10/2013,Convention d'Hospitalité,,
SANOFI AVENTIS FRANCE,Médecin,MANGIN CAROLINE,15/10/2013,15/10/2013 - 15/10/2013,Convention d'Hospitalité,,
SANOFI AVENTIS FRANCE,Médecin,MANGIN CAROLINE,24/06/2014,24/06/2014 - 24/06/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,MANGIN CAROLINE,20/05/2014,20/05/2014 - 20/05/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,MANGIN CAROLINE,18/02/2014,18/02/2014 - 18/02/2014,Autre : [Réunion],,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE LA SEILLE,02/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE LA SEILLE,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE LA SEILLE,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
