A+A,Pharmacien,DAUBLIN .,10/02/2014,10/02/2014 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,HUBLAU REGIS,12/03/2014,12/03/2014 -,Formation,,
ASTRAZENECA,Médecin,HUBLAU ACKERMANN SIMONE,26/02/2014,26/02/2014 -,Formation,,
ASTRAZENECA,Médecin,HUBLAU ACKERMANN SIMONE,13/11/2013,13/11/2013 -,Formation,,
ASTRAZENECA,Médecin,HUBLAU ACKERMANN SIMONE,09/10/2013,09/10/2013 -,Formation,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HUBLAU ACKERMANN SIMONE,05/12/2013,05/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
MENARINI FRANCE,Médecin,HUBLAU REGIS,17/04/2014,17/04/2014 - 17/04/2014,Autre : Réunion scientifique,,
MENARINI FRANCE,Médecin,HUBLAU ACKERMANN SIMONE,17/04/2014,17/04/2014 - 17/04/2014,Autre : Réunion scientifique,,
MSD France,Médecin,HUBLAU REGIS,10/05/2012,10/05/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,HUBLAU REGIS,20/09/2012,20/09/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,HUBLAU REGIS,19/09/2013,19/09/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,HUBLAU REGIS,12/06/2014,12/06/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,HUBLAU ACKERMANN SIMONE,19/09/2013,19/09/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,HUBLAU ACKERMANN SIMONE,23/02/2012,23/02/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,HUBLAU ACKERMANN SIMONE,20/09/2012,20/09/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,HUBLAU ACKERMANN SIMONE,06/06/2013,06/06/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,HUBLAU ACKERMANN SIMONE,06/06/2013,06/06/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,HUBLAU ACKERMANN SIMONE,10/05/2012,10/05/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Pharmacien,DAUBLIN COURBARIAUX ELODIE,20/06/2013,20/06/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Pharmacien,DAUBLIN COURBARIAUX ELODIE,20/06/2013,20/06/2013 -,CONVENTION D’HOSPITALITÉ,,
