A+A,Médecin,JEANMAIRE HUGUES,27/12/2013,23/12/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,DRAPIER FRANCOIS MARIE,19/09/2013,19/09/2013 -,Formation,,
ASTRAZENECA,Médecin,EIDEN CHRISTIAN,19/09/2013,19/09/2013 -,Formation,,
ASTRAZENECA,Médecin,HUMBERT HERVE,19/09/2013,19/09/2013 -,Formation,,
ASTRAZENECA,Médecin,RIVIERE DOMINIQUE,19/09/2013,19/09/2013 -,Formation,,
ASTRAZENECA,Pharmacien,BARBIER CLEMENCE,19/09/2013,19/09/2013 -,Formation,,
ASTRAZENECA,Pharmacien,BRUN JEAN MICHEL,19/09/2013,19/09/2013 -,Formation,,
ASTRAZENECA,Pharmacien,MAAS RENE,19/09/2013,19/09/2013 -,Formation,,
Bayer HealthCare SAS,Médecin,LARDENOIS LODI PASCALE,28/01/2014,28/01/2014 - 28/01/2014,AUTRE : MANIFESTATION DE PROMOTION,,
BOEHRINGER INGELHEIM FRANCE,Médecin,EIDEN CHRISTIAN,27/03/2014,27/03/2014 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOEHRINGER INGELHEIM FRANCE,Médecin,HUMBERT HERVE,17/10/2013,17/10/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOEHRINGER INGELHEIM FRANCE,Médecin,HUMBERT HERVE,27/03/2014,27/03/2014 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOEHRINGER INGELHEIM FRANCE,Médecin,RIVIERE DOMINIQUE,17/10/2013,17/10/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOEHRINGER INGELHEIM FRANCE,Médecin,RIVIERE DOMINIQUE,27/03/2014,27/03/2014 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOEHRINGER INGELHEIM FRANCE,Pharmacien,BARBIER CLEMENCE,17/10/2013,17/10/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOEHRINGER INGELHEIM FRANCE,Pharmacien,BRUN JEAN MICHEL,27/03/2014,27/03/2014 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOEHRINGER INGELHEIM FRANCE,Pharmacien,BRUN JEAN MICHEL,17/10/2013,17/10/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOEHRINGER INGELHEIM FRANCE,Pharmacien,MAAS RENE,27/03/2014,27/03/2014 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOIRON,Pharmacien,HERY CAROLE,18/04/2014,18/04/2014 -,[FORMATION],,
BOIRON,Pharmacien,HERY CAROLE,04/04/2014,04/04/2014 -,[FORMATION],,
