A+A,Médecin,DUJOL PATRICK,25/07/2012,25/07/2012 -,ETUDE DE MARCHE,,
AMO FRANCE SAS,Association professionnel de santé,AOF,17/01/2014,26/01/2014 - 27/01/2014,CONGRES,,
ASTRAZENECA,Médecin,SAVAJOLS DIDIER,13/02/2014,13/02/2014 -,Formation,,
ASTRAZENECA,Pharmacien,TAUPENOT VALERIE,12/12/2013,12/12/2013 -,Formation,,
ASTRAZENECA,Pharmacien,TAUPENOT VALERIE,19/02/2014,19/02/2014 -,Formation,,
BOEHRINGER INGELHEIM FRANCE,Médecin,SAVAJOLS DIDIER,14/11/2013,14/11/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SAVAJOLS DIDIER,19/06/2014,19/06/2014 - 19/06/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRES MAYOLY SPINDLER,Médecin,SAVAJOLS Didier,30/01/2014,30/01/2014 -,Conseil Relations professionnelles,,
LES LABORATOIRES SERVIER,Médecin,SAVAJOLS DIDIER,18/10/2013,18/10/2013 -,Autre : Manifestation scientifique,,
Lilly France SAS,Pédicure-podologue,RATEAU VALERIE,10/04/2014,10/04/2014 - 10/04/2014,AUTRE : [PARTICIPATION RÉUNION SCIENTIFIQUE],,
LOL PHARMA,Pharmacien,MARTIN ET POIRIER MARTIN ET POIRIER,20/06/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
MENARINI FRANCE,Médecin,SAVAJOLS DIDIER,24/05/2014,24/05/2014 - 25/05/2014,Congrès / Symposium,,
MSD France,Infirmier,VILAIN PATRICK,13/05/2014,13/05/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Masseur-kinésithérapeute,RATEAU VALERIE,13/05/2014,13/05/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,DUJOL PATRICK,15/11/2012,15/11/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,GASTON ECHEVERRIA JAIME,13/05/2014,13/05/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,MIGAUD CHRISTIAN,13/05/2014,13/05/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,SAVAJOLS DIDIER,30/05/2013,30/05/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,SAVAJOLS DIDIER,13/05/2014,13/05/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,SAVAJOLS DIDIER,10/04/2014,10/04/2014 -,CONVENTION D’HOSPITALITÉ,,
