A+A,Pharmacien,BUREAU MARTINE,16/01/2012,16/01/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,BAILLIART MUNSCH MARIE CHRISTINE,13/02/2014,13/02/2014 -,Formation,,
ASTRAZENECA,Médecin,GUENOT Isabelle,29/11/2013,29/11/2013 -,Congrès / Symposium,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BAILLIART MUNSCH MARIE CHRISTINE,14/11/2013,14/11/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BAILLIART MUNSCH MARIE CHRISTINE,19/06/2014,19/06/2014 - 19/06/2014,Autre : [Convention d'Hospitalité],,
MENARINI FRANCE,Médecin,VERDIER DAVIOUD OLIVIER,17/04/2014,17/04/2014 - 17/04/2014,Autre : Réunion scientifique,,
MSD France,Infirmier,BONNOT CELINE,13/05/2014,13/05/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,BAILLIART MUNSCH MARIE CHRISTINE,13/05/2014,13/05/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,BAILLIART MUNSCH MARIE CHRISTINE,30/05/2013,30/05/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,VERDIER DAVIOUD OLIVIER,30/05/2013,30/05/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,VERDIER DAVIOUD OLIVIER,13/05/2014,13/05/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,VERDIER DAVIOUD OLIVIER,10/04/2014,10/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,VIGREUX PICHON ANNICK,13/05/2014,13/05/2014 -,CONVENTION D’HOSPITALITÉ,,
MUNDIPHARMA,Médecin,BAILLIART MUNSCH MARIE CHRISTINE,13/02/2013,13/02/2013 - 13/02/2013,AUTRE : CONVENTION D'HOSPITALITE,,
MUNDIPHARMA,Médecin,VERDIER DAVIOUD OLIVIER,13/02/2013,13/02/2013 - 13/02/2013,AUTRE : CONVENTION D'HOSPITALITE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE BAL LECOINTE / SELARL,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE BAL LECOINTE / SELARL,04/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE BAL LECOINTE / SELARL,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE BUREAU,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE BUREAU,04/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
