AbbVie,Médecin,CHAUVOT LAURENT,21/03/2014,21/03/2014 -,RECHERCHE,,
ASTRAZENECA,Médecin,BRENON JACQUES,13/02/2014,13/02/2014 -,Formation,,
ASTRAZENECA,Médecin,BRENON JACQUES,21/11/2013,21/11/2013 -,Formation,,
ASTRAZENECA,Médecin,CHAUVOT LAURENT,18/02/2014,18/02/2014 -,Formation,,
ASTRAZENECA,Médecin,CHAUVOT LAURENT,08/04/2014,08/04/2014 -,Formation,,
ASTRAZENECA,Médecin,CHAUVOT LAURENT,23/10/2013,23/10/2013 -,Formation,,
ASTRAZENECA,Médecin,CHAUVOT LAURENT,21/11/2013,21/11/2013 -,Formation,,
ASTRAZENECA,Médecin,CHAUVOT LAURENT,01/10/2013,01/10/2013 -,Formation,,
ASTRAZENECA,Médecin,CHAUVOT LAURENT,26/09/2013,26/09/2013 -,Formation,,
ASTRAZENECA,Médecin,CHAUVOT LAURENT,15/11/2013,15/11/2013 -,Congrès / Symposium,,
ASTRAZENECA,Médecin,CHAUVOT LAURENT,27/03/2014,27/03/2014 -,Formation,,
ASTRAZENECA,Médecin,DUCAMP GILLES,08/04/2014,08/04/2014 -,Formation,,
ASTRAZENECA,Médecin,DUCAMP GILLES,27/03/2014,27/03/2014 -,Formation,,
ASTRAZENECA,Médecin,DUCAMP GILLES,13/02/2014,13/02/2014 -,Formation,,
ASTRAZENECA,Médecin,DUCAMP GILLES,26/09/2013,26/09/2013 -,Formation,,
ASTRAZENECA,Médecin,GLEITZ PASCAL,21/11/2013,21/11/2013 -,Formation,,
ASTRAZENECA,Médecin,GLEITZ PASCAL,13/02/2014,13/02/2014 -,Formation,,
ASTRAZENECA,Médecin,TABOURIN OLIVIER,27/03/2014,27/03/2014 -,Formation,,
ASTRAZENECA,Médecin,TABOURIN OLIVIER,13/02/2014,13/02/2014 -,Formation,,
ASTRAZENECA,Médecin,TABOURIN OLIVIER,26/09/2013,26/09/2013 -,Formation,,
