A+A,Médecin,SOYEZ MAURICE,09/01/2013,07/01/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,BLONDIAUX GUILLAUME,03/06/2014,03/06/2014 -,Formation,,
ASTRAZENECA,Médecin,BLONDIAUX GUILLAUME,14/01/2014,14/01/2014 -,Formation,,
ASTRAZENECA,Médecin,BROUCQSAULT VINCENT,03/04/2014,03/04/2014 -,Formation,,
ASTRAZENECA,Médecin,MARCUS JULIE,03/06/2014,03/06/2014 -,Formation,,
ASTRAZENECA,Médecin,MARCUS JULIE,14/01/2014,14/01/2014 -,Formation,,
ASTRAZENECA,Médecin,WIART FRANCOIS,14/01/2014,14/01/2014 -,Formation,,
ASTRAZENECA,Médecin,WIART FRANCOIS,03/06/2014,03/06/2014 -,Formation,,
MSD France,Médecin,BLONDIAUX GUILLAUME,26/06/2014,26/06/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,BROUCQSAULT VINCENT,21/03/2013,21/03/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,BROUCQSAULT VINCENT,26/06/2014,26/06/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,GOSSELIN DANIEL,26/06/2014,26/06/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,MARCUS JULIE,10/05/2012,10/05/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,MARCUS JULIE,04/02/2014,04/02/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,MARCUS JULIE,26/06/2014,26/06/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,MARCUS JULIE,14/05/2014,14/05/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,WIART FRANCOIS,26/06/2014,26/06/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Pharmacien,DESSENNE RACINE MARIE AUDE,26/06/2014,26/06/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Pharmacien,DESSENNE RACINE MARIE AUDE,10/04/2014,10/04/2014 -,CONVENTION D’HOSPITALITÉ,,
SANOFI AVENTIS FRANCE,Médecin,MARCUS JULIE,17/12/2013,17/12/2013 - 17/12/2013,Convention d'Hospitalité,,
