A+A,Médecin,DEWAILLY JULIETTE,06/01/2014,30/12/2013 -,ETUDE DE MARCHE,,
ALLERGAN FRANCE,Médecin,MULLER FRANCOIS,23/05/2014,26/06/2014 - 25/06/2015,AUTRE,,
ALLERGAN FRANCE,Médecin,MULLER FRANCOIS,26/11/2013,26/11/2013 - 25/11/2014,CONSEIL,,
ASTELLAS PHARMA,Médecin,WOLFF NICOLAS,06/06/2012,06/06/2012 - 07/06/2012,CONGRES/SYMPOSIUM,,
ASTRAZENECA,Médecin,CHAMBRE MURIEL,11/09/2013,11/09/2013 -,Formation,,
ASTRAZENECA,Médecin,CHAMBRE MURIEL,29/01/2014,29/01/2014 -,Formation,,
ASTRAZENECA,Médecin,CHAMBRE MURIEL,17/09/2013,17/09/2013 -,Formation,,
ASTRAZENECA,Médecin,CHAMBRE MURIEL,06/11/2013,06/11/2013 -,Formation,,
ASTRAZENECA,Médecin,CHRISTOPHE OLIVIER,06/11/2013,06/11/2013 -,Formation,,
ASTRAZENECA,Médecin,DUHART GONCALVES REGINE,30/01/2014,30/01/2014 -,Formation,,
ASTRAZENECA,Médecin,HENRY JEAN MICHEL,17/09/2013,17/09/2013 -,Formation,,
ASTRAZENECA,Médecin,HENRY JEAN MICHEL,24/04/2014,24/04/2014 -,Formation,,
ASTRAZENECA,Médecin,HENRY JEAN MICHEL,30/01/2014,30/01/2014 -,Formation,,
ASTRAZENECA,Médecin,KRASSOULIA ALEXANDRE,29/01/2014,29/01/2014 -,Formation,,
BOIRON,Pharmacien,TARDIF MARYLINE,12/06/2014,12/06/2014 -,[FORMATION],,
BOIRON,Pharmacien,TUYAROT MARTINE,12/06/2014,12/06/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MARJA NATHALIE,12/06/2014,12/06/2014 -,[FORMATION],,
IMS Medical Radar,Médecin,BAUDUER Fr‚d‚ric,24/10/2013,24/10/2013 - 24/10/2013,autre: ETUDE,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHAMBRE MURIEL,10/10/2013,10/10/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KRASSOULIA ALEXANDRE,10/10/2013,10/10/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
