A+A,Pharmacien,FARRE MICHEL,16/04/2013,15/04/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,COTE PATRICK,30/01/2014,30/01/2014 -,Formation,,
ASTRAZENECA,Médecin,COTE PATRICK,07/11/2013,07/11/2013 -,Formation,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE LLIBOUTRY CAYRON PHIE LLIBOUTRY CAYRON,23/05/2013,05/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE PORTEIX ET DANIEL PHIE PORTEIX ET DANIEL,10/07/2013,01/08/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CASSAGNES JEAN LUC,11/04/2013,11/04/2013 -,Autre : [Convention hospitalite],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CASSAGNES JEAN LUC,11/04/2013,11/04/2013 -,Autre : [Convention hospitalite],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CASSAGNES JEAN LUC,30/05/2013,30/05/2013 -,Autre : [Convention hospitalite],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COTE PATRICK,30/05/2013,30/05/2013 -,Autre : [Convention hospitalite],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COTE PATRICK,11/04/2013,11/04/2013 -,Autre : [Convention hospitalite],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COTE PATRICK,11/04/2013,11/04/2013 -,Autre : [Convention hospitalite],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROUVIERE PATRICIA,11/04/2013,11/04/2013 -,Autre : [Convention hospitalite],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SINOTTE ALAIN,30/05/2013,30/05/2013 -,Autre : [Convention hospitalite],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SINOTTE ALAIN,21/11/2013,21/11/2013 - 21/11/2013,[AUTRE] : [CONVENTION HOSPITALITE],,
LES LABORATOIRES SERVIER,Médecin,CASSAGNES JEAN LUC,19/11/2013,19/11/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,CASSAGNES JEAN LUC,11/03/2014,11/03/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LOL PHARMA,Pharmacien,FARRE FARRE,02/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,FARRE FARRE,02/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,FARRE FARRE,02/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,FARRE FARRE,02/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
