3M France,Chirurgien-dentiste,NA CHAMPASSAK CHAO,10/04/2014,10/04/2014 - 10/04/2014,FORMATION,,
A+A,Pharmacien,CHAMBOST VERONIQUE,12/11/2012,09/11/2012 -,ETUDE DE MARCHE,,
A+A,Pharmacien,CHAMBOST VERONIQUE,25/02/2013,25/02/2013 -,ETUDE DE MARCHE,,
A+A,Pharmacien,THEVENARD GENEVIEVE,13/06/2014,13/06/2014 -,ETUDE DE MARCHE,,
A+A,Pharmacien,THEVENARD GENEVIEVE,16/01/2012,16/01/2012 -,ETUDE DE MARCHE,,
A+A,Pharmacien,THEVENARD GENEVIEVE,16/04/2013,15/04/2013 -,ETUDE DE MARCHE,,
AIR LIQUIDE SANTE (INTERNATIONAL),Fondation,THIMONNIER,06/11/2012,01/10/2011 - 31/03/2014,Accord de consortium,,
ASTRAZENECA,Médecin,BINAZET JEREMY,30/01/2014,30/01/2014 -,Formation,,
ASTRAZENECA,Médecin,DE LADREIT ROLAND,30/01/2014,30/01/2014 -,Formation,,
ASTRAZENECA,Médecin,DUCROT PATRICK,20/03/2014,20/03/2014 -,Formation,,
ASTRAZENECA,Médecin,GONZALEZ CLEMENT,20/03/2014,20/03/2014 -,Formation,,
BOEHRINGER INGELHEIM FRANCE,Médecin,DE LADREIT ROLAND,23/04/2014,23/04/2014 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOIRON,Autres types de personne morale,PHARMACIE THEVENARD REVILLON,30/08/2013,30/08/2013 -,[RECHERCHE],,
BOIRON,Pharmacien,THEVENARD GENEVIEVE,03/04/2014,03/04/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GARCIA GAELLE,03/04/2014,03/04/2014 -,[FORMATION],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DUCROT PATRICK,26/09/2013,26/09/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LASER,Médecin,DE LADREIT ROLAND,21/07/2012,21/07/2012 - 31/12/2014,RECHERCHE,,
MSD France,Médecin,GONZALEZ CLEMENT,09/10/2012,09/10/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,GONZALEZ CLEMENT,12/03/2014,12/03/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,MASSON BENOIT,09/10/2012,09/10/2012 -,CONVENTION D HOSPITALITE,,
