A+A,Médecin,PERDOUX SERRAT LAURENCE,06/12/2012,06/12/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,CARROZ PIERRE,27/02/2014,27/02/2014 -,Formation,,
ASTRAZENECA,Médecin,DEROBERT SYLVIE,10/06/2014,10/06/2014 -,Formation,,
ASTRAZENECA,Médecin,MICHEL JEAN YVES,10/06/2014,10/06/2014 -,Formation,,
ASTRAZENECA,Médecin,RUITTON ALLINIEU FREDERIC,26/09/2013,26/09/2013 -,Formation,,
ASTRAZENECA,Médecin,RUITTON ALLINIEU FREDERIC,09/01/2014,09/01/2014 -,Formation,,
Bayer HealthCare SAS,Médecin,CARROZ PIERRE,24/05/2014,24/05/2014 - 24/05/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,GUILLET JEAN MICHEL,24/05/2014,24/05/2014 - 24/05/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,MICHEL JEAN YVES,24/05/2014,24/05/2014 - 24/05/2014,AUTRE : MANIFESTATION DE PROMOTION,,
BIOCODEX,Infirmier,PLANCHE SONIA,10/06/2014,10/06/2014 - 10/06/2014,FORMATION,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JACQUEMIN STEPHANIE,22/05/2014,22/05/2014 - 22/05/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MICHEL JEAN YVES,22/05/2014,22/05/2014 - 22/05/2014,Autre : [Convention d'Hospitalité],,
LES LABORATOIRES SERVIER,Médecin,GUILLET JEAN-MICHEL,20/02/2014,20/02/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,MICHEL JEAN YVES,20/02/2014,20/02/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
MENARINI FRANCE,Médecin,MICHEL JEAN YVES,27/03/2014,27/03/2014 - 27/03/2014,Autre : Réunion scientifique,,
MSD France,Médecin,DEROBERT SYLVIE,03/04/2014,03/04/2014 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,DEROBERT SYLVIE,10/07/2012,10/07/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,DEROBERT SYLVIE,13/11/2012,13/11/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,GUILLET JEAN MICHEL,13/11/2012,13/11/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,MICHEL JEAN YVES,03/04/2014,03/04/2014 -,CONVENTION D’HOSPITALITÉ,,
