3M France,Chirurgien-dentiste,BELLAICHE JEAN MARC,07/12/2013,07/12/2013 -,CONGRES / SYMPOSIUM,,
3M France,Presse et média,EDITOLUX,15/05/2013,15/05/2013 -,PUBLICITE,,
3M France,Presse et média,EDITOLUX,17/03/2014,01/07/2014 - 30/06/2015,PUBLICITE,,
A+A,Médecin,ABRAMOWITZ LAURENT,04/10/2013,04/10/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,AL ATTAR NAWWAR,06/02/2013,06/02/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,AL ATTAR NAWWAR,04/04/2012,03/04/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,AL ATTAR NAWWAR,18/06/2012,18/06/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,AL ATTAR NAWWAR,03/01/2013,02/01/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,ALAVOINE LOUBNA,15/10/2012,12/10/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,ALAVOINE LOUBNA,10/05/2012,10/05/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,ALEXANDRA JEAN FRANCOIS,10/09/2013,10/09/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,ALEXANDRA JEAN FRANCOIS,22/08/2013,22/08/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,ALEXANDRA JEAN FRANCOIS,16/07/2013,16/07/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,ALEXANDRA JEAN FRANCOIS,05/07/2013,09/07/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,ALEXANDRA JEAN FRANCOIS,03/10/2012,08/10/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,ALEXANDRA JEAN FRANCOIS,24/05/2012,24/05/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,ALEXANDRA JEAN FRANCOIS,10/10/2012,10/10/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,ALEXANDRA JEAN FRANCOIS,04/11/2013,07/11/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,ALEXANDRA JEAN FRANCOIS,22/11/2013,20/11/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,ALEXANDRA JEAN FRANCOIS,03/05/2013,03/05/2013 -,ETUDE DE MARCHE,,
