A+A,Pharmacien,GOSSE NGUON SOVANNARY,16/04/2014,15/04/2014 -,ETUDE DE MARCHE,,
All Global,Pharmacien,Nguon Sovannary,29/10/2013,29/10/2013 -,[Marketing],,
Bayer HealthCare SAS,Médecin,GOUDIER PIERRE,06/03/2014,06/03/2014 - 06/03/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Pharmacien,GOSSE CHRISTIAN,26/03/2013,26/03/2013 - 26/03/2013,AUTRE : MANIFESTATION DE PROMOTION,,
LES LABORATOIRES SERVIER,Médecin,GOUDIER PIERRE,08/10/2013,08/10/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,GOUDIER PIERRE,15/10/2013,15/10/2013 -,Autre : Manifestation scientifique,,
Lilly France SAS,Médecin,GOUDIER PIERRE,18/03/2014,18/03/2014 - 18/03/2014,AUTRE : [PARTICIPATION RÉUNION SCIENTIFIQUE],,
Lilly France SAS,Médecin,GOUDIER PIERRE,18/03/2014,18/03/2014 - 18/03/2014,AUTRE : [PARTICIPATION RÉUNION SCIENTIFIQUE],,
MENARINI FRANCE,Médecin,GOUDIER PIERRE,24/05/2014,24/05/2014 - 25/05/2014,Congrès / Symposium,,
MENARINI FRANCE,Médecin,GOUDIER PIERRE,17/06/2014,17/06/2014 - 17/06/2014,Autre : Réunion scientifique,,
SANDOZ,Pharmacien,GOSSE-NGUON SOVANNARY,05/06/2014,05/06/2014 - 05/06/2014,CONGRÈS / SYMPOSIUM/ RP,,
SANOFI AVENTIS FRANCE,Médecin,GOUDIER PIERRE,15/05/2014,15/05/2014 - 15/05/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,GOUDIER PIERRE,05/12/2013,05/12/2013 - 05/12/2013,Convention d'Hospitalité,,
SANOFI AVENTIS FRANCE,Médecin,GOUDIER PIERRE,26/09/2013,26/09/2013 - 26/09/2013,Convention d'Hospitalité,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE LA POSTE / SELARL,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE LA POSTE / SELARL,06/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE LA POSTE / SELARL,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
