ALK-Abelló,Médecin,BOISSERAND LUC,08/10/2013,08/10/2013 - 08/10/2013,AUTRE : [REUNION SCIENTIFIQUE],,
ASTRAZENECA,Médecin,BOISSERAND LUC,12/12/2013,12/12/2013 -,Formation,,
ASTRAZENECA,Médecin,BOISSERAND LUC,10/12/2013,10/12/2013 -,Formation,,
ASTRAZENECA,Médecin,BOISSERAND LUC,05/11/2013,05/11/2013 -,Formation,,
ASTRAZENECA,Médecin,GUEUTIN THIERRY,06/03/2014,06/03/2014 -,Formation,,
ASTRAZENECA,Médecin,GUEUTIN THIERRY,13/02/2014,13/02/2014 -,Formation,,
ASTRAZENECA,Médecin,GUEUTIN THIERRY,23/01/2014,23/01/2014 -,Formation,,
ASTRAZENECA,Médecin,GUEUTIN THIERRY,10/10/2013,10/10/2013 -,Formation,,
ASTRAZENECA,Médecin,GUEUTIN THIERRY,19/09/2013,19/09/2013 -,Formation,,
ASTRAZENECA,Médecin,GUEUTIN THIERRY,19/12/2013,19/12/2013 -,Formation,,
ASTRAZENECA,Médecin,GUEUTIN THIERRY,09/01/2014,09/01/2014 -,Formation,,
ASTRAZENECA,Médecin,GUEUTIN THIERRY,12/12/2013,12/12/2013 -,Formation,,
ASTRAZENECA,Médecin,HERMAND RODRIGUEZ CATHERINE,19/09/2013,19/09/2013 -,Formation,,
ASTRAZENECA,Médecin,LANGUILLAUME MARC,03/06/2014,03/06/2014 -,Formation,,
ASTRAZENECA,Médecin,LANGUILLAUME MARC,10/12/2013,10/12/2013 -,Formation,,
ASTRAZENECA,Médecin,OLSEM ERIC LAURENT,08/04/2014,08/04/2014 -,Formation,,
ASTRAZENECA,Médecin,OLSEM ERIC LAURENT,19/09/2013,19/09/2013 -,Formation,,
ASTRAZENECA,Médecin,OLSEM ERIC LAURENT,10/12/2013,10/12/2013 -,Formation,,
CHIESI SA,Médecin,GUEUTIN THIERRY,05/09/2013,05/09/2013 - 05/09/2013,Autre : HOSPITALITE RP,,
DAIICHI SANKYO FRANCE SAS,Médecin,GUEUTIN THIERRY,05/10/2013,05/10/2013 - 06/10/2013,Autre : [ hospitalité ],,
