A+A,Médecin,ATOUT BEN MOUHA SAIDA,01/03/2013,01/03/2013 -,ETUDE DE MARCHE,,
Audika Groupe SA,Médecin,BRUSSET GUY,16/05/2014,19/06/2014 - 21/06/2014,SEMINAIRE,,
Audika Groupe SA,Médecin,GUIOTH VINCENT,16/05/2014,19/06/2014 - 21/06/2014,SEMINAIRE,,
Bayer HealthCare SAS,Médecin,ATMANI MELAZ,04/12/2013,04/12/2013 - 04/12/2013,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,ATMANI MELAZ,13/06/2014,13/06/2014 - 13/06/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,BARKOUK ABDELLATIF,05/06/2014,05/06/2014 - 06/06/2014,CONGRES / SYMPOSIUM,,
Bayer HealthCare SAS,Médecin,Fouque Jean Marc,05/06/2014,05/06/2014 - 05/06/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,SLIMANE BOUASBANA HADJ,04/12/2013,04/12/2013 - 04/12/2013,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Pharmacien,SALAME KARIM ALEXANDRE,26/03/2013,26/03/2013 - 26/03/2013,AUTRE : MANIFESTATION DE PROMOTION,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BUISSON BENEDICTE,23/06/2014,23/06/2014 -,[FORMATION],,
BRISTOL-MYERS SQUIBB,Médecin,ELIAKIM AGNES,12/03/2014,12/03/2014 -,Autre : [Location de stand / Congrès / Autre],,
COOPERVISION SAS,Médecin,ATMANI-SELATNA MELAZ,17/10/2013,05/09/2013 - 05/09/2014,Autre : REUNION SCIENTIFIQUE,,
COOPERVISION SAS,Médecin,ATMANI-SELATNA MELAZ,08/09/2013,07/09/2013 - 08/09/2013,Autre : SEMINAIRE SCIENTIFIQUE,,
COOPERVISION SAS,Médecin,ATMANI-SELATNA MELAZ,08/09/2013,07/09/2013 - 08/09/2013,Autre : SEMINAIRE SCIENTIFIQUE,,
COOPERVISION SAS,Médecin,ATMANI-SELATNA MELAZ,08/09/2013,07/09/2013 - 08/09/2013,Autre : SEMINAIRE SCIENTIFIQUE,,
DAIICHI SANKYO FRANCE SAS,Médecin,ELIAKIM Agnes,13/12/2013,13/12/2013 - 16/06/2014,AUTRE : [COLLABORATION SCIENTIFIQUE],,
ETHICON,Médecin,ATMANI MELAZ,20/09/2013,20/09/2013 - 22/09/2013,CONGRES / SYMPOSIUM,,
JANSSEN-CILAG,Médecin,FOUQUE JEAN MARC,21/11/2013,21/11/2013 - 21/11/2013,CONGRES / SYMPOSIUM,,
Kantar Health,Infirmier,ELIA CORINNE,01/04/2014,01/04/2014 - 01/04/2014,[MARKETING],,
Kantar Health,Infirmier,ELIA CORINNE,01/04/2014,01/04/2014 - 01/04/2014,[MARKETING],,
