ASTRAZENECA,Médecin,LE MAILLOUX DOMINIQUE,13/02/2014,13/02/2014 -,Formation,,
BOIRON,Pharmacien,AUGER HELENE,08/11/2013,08/11/2013 -,[FORMATION],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BARBAUD JOUBERT CHRISTINE,17/12/2013,17/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LE MAILLOUX DOMINIQUE,17/12/2013,17/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
MUNDIPHARMA,Médecin,PRUNIER JEAN CHRISTOPHE,20/06/2014,20/06/2014 - 20/06/2014,AUTRE : CONVENTION D'HOSPITALITE,,
PASCALEO,Médecin,PAGEARD OLIVIER,07/03/2014,07/03/2014 -,AUTRE,,
PASCALEO,Médecin,PAGEARD OLIVIER,14/10/2013,14/10/2013 -,AUTRE,,
PASCALEO,Médecin,PAGEARD OLIVIER,26/05/2014,26/05/2014 -,AUTRE,,
SANOFI AVENTIS FRANCE,Médecin,BAILLERGEAU HUGUES,30/01/2014,30/01/2014 - 30/01/2014,Autre : [Réunion],,
TEVA SANTE SAS,Autres types de personne morale,PHIE DES HALLES / SELARL,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DES HALLES / SELARL,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DES HALLES / SELARL,09/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DES HALLES / SELARL,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
