ASTRAZENECA,Médecin,BEN MOUSSA SAMI,28/08/2013,28/08/2013 -,Formation,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE DE LA MAYE PHIE DE LA MAYE,06/05/2014,17/06/2014 -,AUTRE : CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE DE LA MAYE PHIE DE LA MAYE,06/05/2014,17/06/2014 -,AUTRE : CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE DE LA MAYE PHIE DE LA MAYE,06/05/2014,17/06/2014 -,AUTRE : CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,LEFER ET BARNABE LEFER ET BARNABE,03/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,LEFER ET BARNABE LEFER ET BARNABE,03/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,LEFER ET BARNABE LEFER ET BARNABE,06/03/2012,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,LEFER ET BARNABE LEFER ET BARNABE,06/03/2012,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
SANOFI AVENTIS FRANCE,Infirmier,URBAIN SEBASTIEN,15/04/2014,15/04/2014 - 15/04/2014,Autre : [Réunion],,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE LA MAYE / SELARL,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE LA MAYE / SELARL,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE LA MAYE / SELARL,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
