A+A,Médecin,CLASSEN OLIVIER,05/01/2012,05/01/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,CLASSEN OLIVIER,05/12/2013,05/12/2013 -,Formation,,
ASTRAZENECA,Médecin,CLASSEN OLIVIER,23/01/2014,23/01/2014 -,Formation,,
ASTRAZENECA,Médecin,CLASSEN OLIVIER,10/09/2013,10/09/2013 -,Formation,,
ASTRAZENECA,Médecin,MARC LUC,03/04/2014,03/04/2014 -,Formation,,
ASTRAZENECA,Médecin,MARC LUC,23/10/2013,23/10/2013 -,Formation,,
PIERRE FABRE MEDICAMENT,Médecin,MARC LUC,12/12/2013,12/12/2013 -,CONVENTION D'HOSPITALITE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DU COURS / SNC,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DU MOULIN / SNC,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DU MOULIN / SNC,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DU MOULIN / SNC,02/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
