A+A,Médecin,RAFFIN JEAN PAUL,09/01/2013,04/01/2013 -,ETUDE DE MARCHE,,
All Global,Médecin,Cosset Elodie,26/05/2014,26/05/2014 -,[Marketing],,
All Global,Médecin,Cosset Elodie,06/12/2013,06/12/2013 -,[Marketing],,
All Global,Médecin,Cosset Elodie,02/05/2014,02/05/2014 -,[Marketing],,
ASTRAZENECA,Médecin,COUSINEAU FLORENCE,26/11/2013,26/11/2013 -,Formation,,
ASTRAZENECA,Médecin,COUSINEAU FLORENCE,13/02/2014,13/02/2014 -,Formation,,
ASTRAZENECA,Médecin,DRUGEON CHARLES BERNARD,25/09/2013,25/09/2013 -,Formation,,
ASTRAZENECA,Médecin,GODIN PATRICK,13/02/2014,13/02/2014 -,Formation,,
ASTRAZENECA,Médecin,GODIN PATRICK,29/03/2014,29/03/2014 -,Formation,,
ASTRAZENECA,Médecin,GRIT M JEANNE,24/09/2013,24/09/2013 -,Formation,,
ASTRAZENECA,Médecin,NOURAUD CEDRIC,29/03/2014,29/03/2014 -,Formation,,
ASTRAZENECA,Médecin,RAFFIN JEAN PAUL,25/09/2013,25/09/2013 -,Formation,,
ASTRAZENECA,Médecin,RENAUT PASCALE,24/09/2013,24/09/2013 -,Formation,,
ASTRAZENECA,Médecin,RENAUT PASCALE,29/03/2014,29/03/2014 -,Formation,,
ASTRAZENECA,Médecin,RENAUT PASCALE,26/11/2013,26/11/2013 -,Formation,,
BOEHRINGER INGELHEIM FRANCE,Médecin,GRIT M JEANNE,05/12/2013,05/12/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
CHIESI SA,Médecin,COUSINEAU FLORENCE,19/09/2013,19/09/2013 - 19/09/2013,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,GODIN PATRICK,19/09/2013,19/09/2013 - 19/09/2013,Autre : HOSPITALITE RP,,
DAIICHI SANKYO FRANCE SAS,Médecin,COUSINEAU FLORENCE,03/12/2013,03/12/2013 - 03/12/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,DRUGEON CHARLES BERNARD,21/11/2013,21/11/2013 - 21/11/2013,Autre : [ hospitalité ],,
