A+A,Médecin,GANNIER HELENE,11/09/2012,11/09/2012 -,ETUDE DE MARCHE,,
Bayer HealthCare SAS,Médecin,BRILLANT PHILIPPE,19/09/2013,19/09/2013 - 19/09/2013,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,GANNIER HELENE,19/09/2013,19/09/2013 - 19/09/2013,AUTRE : MANIFESTATION DE PROMOTION,,
DAIICHI SANKYO FRANCE SAS,Médecin,GANNIER HELENE,24/04/2014,24/04/2014 - 24/04/2014,Autre : [hospitalité],,
galderma international,Médecin,BRILLANT PHILIPPE,19/12/2013,19/12/2013 - 19/12/2013,Autre,,
galderma international,Médecin,GANNIER HELENE,19/12/2013,19/12/2013 - 19/12/2013,Autre,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE DU MARAIS PHIE DU MARAIS,18/02/2014,06/03/2014 -,AUTRE : CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
IPSEN PHARMA,Médecin,BRILLANT PHILIPPE,01/04/2014,01/04/2014 - 01/04/2014,CONVENTION D'HOSPITALITE,,
IPSEN PHARMA,Médecin,BRILLANT PHILIPPE,17/04/2014,17/04/2014 - 17/04/2014,CONVENTION D'HOSPITALITE,,
IPSEN PHARMA,Médecin,GANNIER HELENE,17/04/2014,17/04/2014 - 17/04/2014,CONVENTION D'HOSPITALITE,,
IPSEN PHARMA,Médecin,GANNIER HELENE,01/04/2014,01/04/2014 - 01/04/2014,CONVENTION D'HOSPITALITE,,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE VAN VLIET-BELIN,01/12/2013,01/12/2013 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BRILLANT PHILIPPE,12/12/2013,12/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BRILLANT PHILIPPE,21/11/2013,21/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GANNIER HELENE,21/11/2013,21/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GANNIER HELENE,12/12/2013,12/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRES MAYOLY SPINDLER,Médecin,BRILLANT PHILIPPE,15/02/2014,15/02/2014 -,Conseil Relations professionnelles,,
Lilly France SAS,Médecin,BRILLANT PHILIPPE,13/05/2014,13/05/2014 - 13/05/2014,AUTRE : [PARTICIPATION RÉUNION SCIENTIFIQUE],,
Lilly France SAS,Médecin,BRILLANT PHILIPPE,18/03/2014,18/03/2014 - 18/03/2014,AUTRE : [PARTICIPATION RÉUNION SCIENTIFIQUE],,
Lilly France SAS,Médecin,GANNIER HELENE,13/05/2014,13/05/2014 - 13/05/2014,AUTRE : [PARTICIPATION RÉUNION SCIENTIFIQUE],,
