A+A,Médecin,NOUHAUD PASCAL,23/05/2012,22/05/2012 -,ETUDE DE MARCHE,,
All Global,Médecin,Bonnaud Christian,12/06/2014,12/06/2014 -,[Marketing],,
All Global,Médecin,Bonnaud Christian,04/05/2014,04/05/2014 -,[Marketing],,
All Global,Médecin,Bonnaud Christian,02/10/2013,02/10/2013 -,[Marketing],,
All Global,Médecin,Bonnaud Christian,12/06/2014,12/06/2014 -,[Marketing],,
All Global,Médecin,Bonnaud Christian,29/04/2014,26/04/2014 -,[Marketing],,
ASTRAZENECA,Médecin,CRISTESCU DOINA,29/03/2014,29/03/2014 -,Formation,,
ASTRAZENECA,Médecin,RECHITEANU FLORENTINA,17/12/2013,17/12/2013 -,Formation,,
ASTRAZENECA,Médecin,RECHITEANU FLORENTINA,24/09/2013,24/09/2013 -,Formation,,
ASTRAZENECA,Médecin,RECHITEANU FLORENTINA,18/03/2014,18/03/2014 -,Formation,,
ASTRAZENECA,Médecin,RECHITEANU FLORENTINA,20/05/2014,20/05/2014 -,Formation,,
ASTRAZENECA,Médecin,RECHITEANU FLORENTINA,29/03/2014,29/03/2014 -,Formation,,
ASTRAZENECA,Médecin,SERBAN ADELA,18/03/2014,18/03/2014 -,Formation,,
ASTRAZENECA,Médecin,SERBAN ADELA,17/12/2013,17/12/2013 -,Formation,,
ASTRAZENECA,Médecin,SERBAN ADELA,24/09/2013,24/09/2013 -,Formation,,
ASTRAZENECA,Médecin,SERBAN ADELA,20/05/2014,20/05/2014 -,Formation,,
Bayer HealthCare SAS,Sage-femme,BROUSSEAU SEVERINE,16/05/2014,16/05/2014 - 16/05/2014,AUTRE : MANIFESTATION DE PROMOTION,,
DAIICHI SANKYO FRANCE SAS,Médecin,PARROT PHILIPPE,25/09/2013,25/09/2013 - 25/09/2013,Autre : [ hospitalité ],,
EXAFIELD,Pharmacien,DE SAINT MESMIN DE SAINT MESMIN,01/01/2014,01/01/2014 -,MARKETING,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CRISTESCU DOINA,13/05/2014,13/05/2014 - 13/05/2014,Autre : [Convention d'Hospitalité],,
