A+A,Médecin,LOILLIEUX ALAIN,14/09/2012,14/09/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,BLANDEAU PIERRE,20/11/2013,20/11/2013 -,Formation,,
ASTRAZENECA,Médecin,BLANDEAU PIERRE,09/04/2014,09/04/2014 -,Formation,,
ASTRAZENECA,Médecin,MABILEAU ELODIE,11/12/2013,11/12/2013 -,Formation,,
ASTRAZENECA,Médecin,MABILEAU ELODIE,29/01/2014,29/01/2014 -,Formation,,
ASTRAZENECA,Médecin,MORNET THIERRY,29/01/2014,29/01/2014 -,Formation,,
ASTRAZENECA,Médecin,MORNET THIERRY,20/02/2014,20/02/2014 -,Formation,,
ASTRAZENECA,Médecin,MORNET THIERRY,19/12/2013,19/12/2013 -,Formation,,
ASTRAZENECA,Médecin,MORNET THIERRY,29/03/2014,29/03/2014 -,Formation,,
ASTRAZENECA,Médecin,MORNET THIERRY,15/04/2014,15/04/2014 -,Formation,,
ASTRAZENECA,Médecin,ROBERT DU BOISLOUVEAU JEAN LOUP,20/11/2013,20/11/2013 -,Formation,,
ASTRAZENECA,Médecin,ROBERT DU BOISLOUVEAU JEAN LOUP,09/04/2014,09/04/2014 -,Formation,,
ASTRAZENECA,Médecin,ROBERT DU BOISLOUVEAU JEAN LOUP,15/04/2014,15/04/2014 -,Formation,,
BOIRON,Autres types de personne morale,PHARMACIE POUVREAU,22/08/2013,22/08/2013 -,[RECHERCHE],,
BOIRON,Pharmacien,POUVREAU MARIE-LAURE,20/05/2014,20/05/2014 -,[FORMATION],,
BOIRON,Pharmacien,VILLERS NATHALIE,20/05/2014,20/05/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,HERVE ORLANE,21/11/2013,21/11/2013 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LE COLLETER BARBARA,21/11/2013,21/11/2013 -,[FORMATION],,
DAIICHI SANKYO FRANCE SAS,Médecin,LEHY ISABELLE,15/01/2014,15/01/2014 - 15/01/2014,Autre : [hospitalité],,
DAIICHI SANKYO FRANCE SAS,Médecin,MORNET THIERRY,15/01/2014,15/01/2014 - 15/01/2014,Autre : [hospitalité],,
