ASTRAZENECA,Pharmacien,GUILLEMOT SABINE,11/03/2014,11/03/2014 -,Formation,,
Bayer HealthCare SAS,Médecin,PIFFOUX ERIC,13/03/2014,13/03/2014 - 13/03/2014,AUTRE : MANIFESTATION DE PROMOTION,,
BOIRON,Pharmacien,DELANNOY GENEVIEVE,21/11/2013,21/11/2013 -,[FORMATION],,
BOIRON,Pharmacien,GUILLEMOT SABINE,21/11/2013,21/11/2013 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DOWN STEPHANIE,21/11/2013,21/11/2013 -,[FORMATION],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ENGELMANN DOMINIQUE,28/11/2013,28/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ENGELMANN DOMINIQUE,30/01/2014,30/01/2014 - 30/01/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ENGELMANN DOMINIQUE,23/01/2014,23/01/2014 - 23/01/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PIFFOUX ERIC,28/11/2013,28/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PIFFOUX ERIC,23/01/2014,23/01/2014 - 23/01/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PIFFOUX ERIC,17/10/2013,17/10/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PIFFOUX ERIC,30/01/2014,30/01/2014 - 30/01/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,WARZEE FRANCIS,17/10/2013,17/10/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,WARZEE FRANCIS,30/01/2014,30/01/2014 - 30/01/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRES MAYOLY SPINDLER,Médecin,PIFFOUX ERIC,07/11/2013,07/11/2013 -,AUTRE : [RP TFI],,
LABORATOIRES MAYOLY SPINDLER,Médecin,WARZEE FRANCIS,07/11/2013,07/11/2013 -,AUTRE : [RP TFI],,
LABORATOIRES MAYOLY SPINDLER,Médecin,WARZEE Francis,27/02/2014,27/02/2014 -,Conseil Relations professionnelles,,
LES LABORATOIRES SERVIER,Médecin,ENGELMANN DOMINIQUE,20/03/2014,20/03/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,WARZEE FRANCIS,03/04/2014,03/04/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
Lilly France SAS,Médecin,WARZEE FRANCIS,20/03/2014,20/03/2014 - 20/03/2014,AUTRE : [PARTICIPATION RÉUNION SCIENTIFIQUE],,
