A+A,Médecin,MONDAN MARC,07/09/2012,06/09/2012 -,ETUDE DE MARCHE,,
Becton Dickinson France SAS,Infirmier,BEAUPUIS ALEXANDRA,03/12/2013,03/12/2013 -,FORMATION,,
Becton Dickinson France SAS,Infirmier,BOURDEAU EVELYNE,03/12/2013,03/12/2013 -,FORMATION,,
Becton Dickinson France SAS,Infirmier,JAQUEMET EMILIE,03/12/2013,03/12/2013 -,FORMATION,,
Becton Dickinson France SAS,Infirmier,RODE EMILIE,03/12/2013,03/12/2013 -,FORMATION,,
LABORATOIRES COLOPLAST,Infirmier,BLANC DIDIER,27/03/2014,27/03/2014 -,Autre : convention d'hospitalité,,
LABORATOIRES COLOPLAST,Infirmier,BOURDEAU EVELYNE,27/03/2014,27/03/2014 -,Autre : convention d'hospitalité,,
MSD France,Pharmacien,VAURY DOMINIQUE,19/05/2014,19/05/2014 -,RECHERCHE BIOMEDICALE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE L'ETOILE,12/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE L'ETOILE,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE L'ETOILE,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
