3M France,Chirurgien-dentiste,CHICAN-MINIER BEATRICE,07/12/2013,07/12/2013 -,CONGRES / SYMPOSIUM,,
A+A,Médecin,ABDULNAYEF AZHAR,12/02/2013,12/02/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,ABDULNAYEF AZHAR,23/07/2013,23/07/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,ABDULNAYEF AZHAR,31/07/2013,30/07/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,AZULAY JACQUES,31/07/2013,30/07/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,BISSEUX FRANCOISE,28/06/2012,26/06/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,DUCLOS GERARD,07/02/2012,02/02/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,DUCLOS GERARD,16/07/2012,16/07/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,LASCAR BRUNO,20/05/2013,20/05/2013 -,ETUDE DE MARCHE,,
AbbVie,Médecin,DUGUE CECILE,11/03/2014,20/03/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
AbbVie,Médecin,LE COZ HUGELE PASCALE,17/06/2014,17/06/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
ALK-Abelló,Médecin,RISPAL CATHERINE,17/12/2012,17/12/2012 -,Autre : [Collaboration Scientifique],,
ALK-Abelló,Médecin,RISPAL CATHERINE,27/05/2013,27/05/2013 -,Recherche,,
ALK-Abelló,Médecin,RISPAL CATHERINE,18/12/2012,18/12/2012 -,RECHERCHE,,
ALK-Abelló,Médecin,RISPAL CATHERINE,07/11/2013,07/11/2013 - 07/11/2013,AUTRE : [REUNION SCIENTIFIQUE],,
ALMIRALL SAS,Médecin,ABDULNAYEF AZHAR,21/11/2013,21/11/2013 - 21/11/2013,CONGRES / SYMPOSIUM,,
ALMIRALL SAS,Médecin,ABDUL NAYEF AZHAR,21/11/2013,21/11/2013 - 21/11/2013,CONGRES / SYMPOSIUM,,
ASTRAZENECA,Fondation,DISCOV'R,21/04/2014,13/01/2014 -,Congrès/symposium,,
ASTRAZENECA,Fondation,DISCOV'R,03/10/2013,03/10/2013 -,Congrès/symposium,,
ASTRAZENECA,Médecin,AZULAY JACQUES,07/11/2013,07/11/2013 -,Formation,,
