A+A,Médecin,LANKAR KOBRYNER ANNE,26/07/2012,26/07/2012 -,ETUDE DE MARCHE,,
ARROW GENERIQUES SAS,Pharmacien,ETHODET BLAISE,05/06/2013,29/08/2013 -,CONGRES,,
ASTRAZENECA,Médecin,AMMOUN BOURDELAS CORINNE,24/10/2013,24/10/2013 -,Formation,,
ASTRAZENECA,Médecin,AMMOUN BOURDELAS CORINNE,03/10/2013,03/10/2013 -,Formation,,
ASTRAZENECA,Médecin,ARDOUIN LUC,11/09/2013,11/09/2013 -,Formation,,
ASTRAZENECA,Médecin,GUENEL LAURENT,24/10/2013,24/10/2013 -,Formation,,
ASTRAZENECA,Médecin,JOLY SERGE,24/10/2013,24/10/2013 -,Formation,,
ASTRAZENECA,Médecin,LANKAR KOBRYNER ANNE,11/09/2013,11/09/2013 -,Formation,,
ASTRAZENECA,Médecin,LAURENT CHRISTIAN,11/09/2013,11/09/2013 -,Formation,,
ASTRAZENECA,Médecin,OUVRARD THIERRY,11/09/2013,11/09/2013 -,Formation,,
ASTRAZENECA,Médecin,PAGANELLI JEAN CLAUDE,11/09/2013,11/09/2013 -,Formation,,
ASTRAZENECA,Médecin,PONCIN MATTIODA CELINE,19/11/2013,19/11/2013 -,Formation,,
ASTRAZENECA,Médecin,RONNE FLORENCE,11/09/2013,11/09/2013 -,Formation,,
ASTRAZENECA,Médecin,SEPTAVAUX GUY,24/10/2013,24/10/2013 -,Formation,,
ASTRAZENECA,Médecin,VAUSSOUE CHRISTINE,11/09/2013,11/09/2013 -,Formation,,
ASTRAZENECA,Pharmacien,ETHODET NKAKE BLAISE,11/09/2013,11/09/2013 -,Formation,,
B3TSI,Médecin,OUVRARD THIERRY,30/08/2012,30/08/2012 -,Autre : Mise en situation des DM,,
Bayer HealthCare SAS,Médecin,ARDOUIN LUC,15/01/2014,15/01/2014 - 18/01/2014,CONGRES / SYMPOSIUM,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MARKOVIC IGOR,12/06/2014,12/06/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ROLLAND SEVERINE,23/09/2013,23/09/2013 -,[FORMATION],,
